title|authors|year|isbn|isbn source file|
AUTOMAZIONE: RILEVAMENTO, ELEBORAZIONE E AZIONAMENTO NEI PROCESSI INDUSTRIALI|O. Ortolani, E. Venturi|1997|9788820323332|isbns-scatolone5.txt|
Guida al controllo di qualità|Kaoru Ishikawa|1990|9788820423698|isbns-scatolone5.txt|
L'impresa che comunica|Roberto Grandi, Mattia Miani|2006|9788820424817|isbns-scatolone5.txt|
Programmable logic controllers and their engineering applications|Alan J. Crispin|1997|9780077093174|isbns-scatolone5.txt|
CNC macchine utensili a controllo numerico: Struttura-Programmi-Lavorazioni|Grimaldi Fortunato|1991|9788820318451|isbns-scatolone5.txt|
L'ascensore idraulico|Riccardo Paolelli|1990|9788808097057|isbns-scatolone5.txt|
Elementi di automatica|Paolo Bolzern|1992|9788821400827|isbns-scatolone5.txt|
Imparare Visual Basic 6 in 24 ore|Greg M. Perry, Sanjaya Hettihewa|1999|9788848107341|isbns-scatolone5.txt|
Meccanica degli azionamenti vol.1: Azionamenti elettrici, principi di funzionamento, accoppiamento con il carico, scelta gruppo, motore, riduttore, controllo|Giovanni Legnani, Monica Tiboni, Riccardo Adamini|2002|9788886524643|isbns-scatolone5.txt|
Programming and interfacing the 8051 microcontroller|Sencer Yeralan|1993|9780201633658|isbns-scatolone5.txt|
Emergency/standby power systems|Alexander Kusko|1989|9780070356894|isbns-scatolone5.txt|
Amplificatori operazionali e loro applicazioni|Walter Jung, F. Montecchi|1989|8870813819|isbns-scatolone5.txt|
MICROELABORATORI Note di hardware|Offelli Carlo Baccolini Giancarlo (|1993|8870055582|isbns-scatolone5.txt|
L' applicazione dei controllori programmabili industriali|Gérard Marie|1997|8870813282|isbns-scatolone5.txt|
Power control electronics|Boyd Larson|1983|136871860|isbns-scatolone5.txt|
Analisi e programmazione strutturata. Concetti fondamentali (Informatica)|Jean P. Laurent|1987|8870813649|isbns-scatolone5.txt|
VADEMECUM PER DISEGNATORI E TECNICI|Baldassini|1980|8820311194|isbns-scatolone5.txt|ANTIQUARIATO?
Power electronics|Ned Mohan|1989|9780471505372|isbns-scatolone5.txt|
Misurare la performance aziendale. Il ruolo degli indicatori funzionali|Lothian Niall|1997|9788823804111|isbns-scatolone5.txt|
Alimentatori switching, convertitori e regolatori DC/DC. Circuiti applicativi|Daniele Danieli, Alessio Capo|2004|9788889150061|isbns-scatolone5.txt|
M68000 8-/16-/32-bit microprocessors|???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???, ???|1990|135416655|isbns-scatolone5.txt|
Programmable controllers|George L. Batten|1988|083063147X|isbns-scatolone5.txt|
PLC. I controlli programmabili|Aldo Cavalcoli|1987|8870057259|isbns-scatolone5.txt|
Manuale degli SCR, TRIAC e altri tiristori|Pancaldi, Brazioli|1982|8870561151|isbns-scatolone5.txt|
PLC CONTROLLORI LOGICI PROGRAMMABILI: PROGRAMMAZIONE, APPLICAZIONI ED ESERCITAZIONI|Massimo Barezzi|2005|9788884880482|isbns-scatolone5.txt|
